entity,type,frequency
Jerez,LOC,49
Jimeno,LOC,49
Arriba,LOC,49
Alcalde,LOC,49
"
",ORG,49
Salamanca,LOC,48
esclamó,LOC,48
alcázar,LOC,48
Levante,LOC,48
Quisiera,LOC,48
paseo,LOC,47
Ebro,LOC,47
Pedro,LOC,47
Liceo,LOC,47
Asia,LOC,47
Llevaba,LOC,47
Caracol,LOC,47
Siricia,LOC,47
Curra,LOC,47
Buenos,LOC,46
Fuentidueña,LOC,46
Senado,ORG,46
Villalonga,LOC,46
Congreso,ORG,46
Sabadell,LOC,46
-¿No,LOC,45
Caballeros,ORG,45
Venecia,LOC,45
Academia,ORG,45
Golfín,LOC,44
Mediterráneo,LOC,44
Clementina,ORG,44
Aranjuez,LOC,44
-¡Bah,ORG,44
Oficio,LOC,44
santa,LOC,44
Alameda,LOC,44
La,ORG,44
Olmeda,LOC,44
Vuestra,LOC,44
 ,LOC,43
cabo,LOC,43
Adelfa,LOC,43
Coralia,LOC,43
Llegó,LOC,43
Egipto,LOC,43
Reina,LOC,43
Orange,LOC,43
Mendavia,LOC,42
Sentóse,LOC,42
Holanda,LOC,42
Recoletos,LOC,42
Repito,LOC,42
Siempre,ORG,42
Constantinopla,LOC,42
Arjel,ORG,42
damasco,LOC,42
Gratiano,LOC,42
Tribunal,ORG,41
Castañuelas,LOC,41
Iré,LOC,41
Unión,ORG,41
los,ORG,41
Océano,LOC,41
Medina,LOC,41
Micaela,LOC,41
Gobierno,ORG,41
.....,ORG,41
Castellana,LOC,41
Manuela,LOC,40
Zig-Zag,ORG,40
Mpizi,LOC,40
Península,LOC,40
Escorial,LOC,40
Mocejón,LOC,40
Filipinas,LOC,40
India,LOC,40
don,LOC,40
Círculo,ORG,39
Colonia,LOC,39
Parecíale,LOC,39
Carpia,LOC,38
Posuna,LOC,38
Cataluña,LOC,38
Oriente,LOC,38
Cubitas,LOC,38
Ozores,LOC,38
eh,ORG,38
Bretaña,LOC,38
Elisa,LOC,38
Candelaria,LOC,38
Mujanda,LOC,38
¿,LOC,38
Asociación,ORG,38
Estella,LOC,38
Pamplona,LOC,38
Basta,LOC,38
Bari,LOC,38
Barriga,LOC,38
Ministerio,LOC,38
Catedral,LOC,38
Luis,LOC,37
y,LOC,37
Cristóbal,LOC,37
Juzgado,LOC,37
-Lo,LOC,37
Koeveld,LOC,37
Traía,LOC,37
Alcázar,LOC,36
aya,ORG,36
Tenemos,LOC,36
Yuste,LOC,36
Arcediano,LOC,36
provincia,LOC,36
.,ORG,36
Mesina,LOC,36
Pajares,LOC,36
Espina,LOC,36
Berta,LOC,36
os,LOC,36
Teresina,LOC,36
Su,LOC,36
Viana,LOC,36
Asturias,LOC,36
Argel,LOC,35
Santísima,LOC,35
Gricualandia,LOC,35
Boán,LOC,35
Junta,ORG,35
Málaga,LOC,35
Manila,LOC,35
-Ea,ORG,35
Herró,LOC,35
Niña,ORG,35
Orden,ORG,35
Vivía,LOC,35
Chole,ORG,35
Paraíso,LOC,35
Turnovas,LOC,35
Este,LOC,35
Audiencia,LOC,34
Liga,ORG,34
Villafría,LOC,34
Orencia,LOC,34
Pirineo,LOC,34
Jerusalén,LOC,34
Hospital,LOC,34
Arimi,LOC,34
Batiste,LOC,34
Parma,LOC,34
Usana,LOC,34
Gibraltar,LOC,34
Rey,LOC,34
Domingo,LOC,33
Clementina,LOC,33
-Basta,LOC,33
Leal,LOC,33
Muelle,LOC,33
Casi,LOC,33
Albornoz,LOC,33
Pepazos,LOC,33
Albaicín,LOC,33
Estado,ORG,33
plazuela,LOC,33
Tristán,LOC,33
Mar,LOC,32
Mauricia,LOC,32
Bitadura,LOC,32
Reyes,LOC,32
Saturno,LOC,32
Dicen,LOC,32
Jamás,ORG,32
Vicente,LOC,32
Tarragona,LOC,32
Henares,LOC,32
Banco,ORG,32
Lopo,LOC,32
Vivero,LOC,32
Concha,LOC,31
civil,ORG,31
-El,LOC,31
Colegio,LOC,31
-I-,LOC,31
Hotel,LOC,31
Bazar,LOC,31
Azucena,LOC,31
Rusia,LOC,31
Ilerda,LOC,31
Grande,LOC,31
Palomas,LOC,31
Arzobispo,LOC,31
Zanguina,LOC,31
Burdeos,LOC,31
Chafinos,LOC,31
Volvióse,LOC,31
Al-Madhi,ORG,31
Cava,LOC,30
Luna,LOC,30
Palomares,LOC,30
Apenas,LOC,30
convento,LOC,30
Benavente,LOC,30
Campos,LOC,30
Grecia,LOC,30
York,LOC,30
Calla,LOC,30
Pacheca,LOC,29
Zamora,LOC,29
Memé,LOC,29
Colasa,LOC,29
Badajoz,LOC,29
Argamasilla,LOC,29
Vino,LOC,29
"
			 ",LOC,29
vuecencia,LOC,29
Cárlos,LOC,29
Monforte,LOC,29
camino,LOC,29
Tablanca,LOC,29
Mafeking,LOC,29
estado,LOC,29
Volvió,ORG,29
Cruz,ORG,29
Parque,LOC,29
Ayala,LOC,29
puente,LOC,29
Vosotros,LOC,29
Sintió,LOC,29
-Le,LOC,29
Roque,LOC,29
Cuerpo,ORG,28
Universidad,ORG,28
Ulloa,LOC,28
Buen,LOC,28
Bardenas,LOC,28
-¡Ira,LOC,28
Beliasca,LOC,28
Cuenca,LOC,28
Monte,LOC,28
Paseo,LOC,28
Almería,LOC,28
Guadalquivir,LOC,28
-Señora,LOC,28
Haré,LOC,28
Mauricio,LOC,28
Siento,LOC,28
Amor,ORG,28
Entró,ORG,28
Escocia,LOC,28
Neblijar,LOC,28
Thracia,LOC,27
Casona,LOC,27
Arenal,LOC,27
gran,LOC,27
Rinconada,LOC,27
Seguía,LOC,27
Antoñona,LOC,27
Tornó,LOC,27
Rozica,LOC,27
Lóndres,LOC,27
Muelle-Anaos,LOC,27
Club,ORG,27
Río,LOC,27
Bueno,LOC,27
-III-,LOC,27
Villaviciosa,LOC,27
Denver,LOC,27
Superiora,LOC,27
Decidme,LOC,27
Orense,LOC,27
Rubín,LOC,27
Paises-Bajos,LOC,26
Lomas,LOC,26
Hallábase,LOC,26
-Mirad,LOC,26
Grand,LOC,26
Amalia,LOC,26
Clara,LOC,26
Estoy,LOC,26
Oeste,LOC,26
Necesito,LOC,26
Encimada,LOC,26
Danubio,LOC,26
Bilbao,LOC,26
Moesia,LOC,26
Sicilia,LOC,26
Molinera,LOC,26
Myera,LOC,26
Ávila,LOC,26
Sagunto,LOC,25
Macarena,LOC,25
Jarrapellejos,LOC,25
Alcudia,LOC,25
Extremadura,LOC,25
Guadalajara,LOC,25
Unidos,LOC,25
...,ORG,25
puerta,LOC,25
Viaco,LOC,25
Constitución,ORG,25
DUENDE,LOC,25
conde,LOC,25
Génova,LOC,25
haré,LOC,25
Merino,LOC,25
Mirad,LOC,25
Andrea,LOC,24
rae,ORG,24
Sula,LOC,24
Noblurve,LOC,24
Visanteta,LOC,24
Capitán,LOC,24
Matilde,LOC,24
Teatro,LOC,24
Sierpes,LOC,24
Rodalquilar,LOC,24
Caledon,LOC,24
Niezi,LOC,24
?,ORG,24
Digo,LOC,24
Secretario,LOC,24
José,LOC,24
Lituca,LOC,24
Baranda-,LOC,24
Oyóse,LOC,24
De,ORG,24
Zurdo,LOC,24
Pepeta,LOC,24
Warner,ORG,24
Nieves,LOC,24
Mondéjar,LOC,24
Casa-Muñoz,LOC,24
Picmort,LOC,24
Allí,LOC,23
Empezaba,LOC,23
Irache,LOC,23
Fuencarral,LOC,23
Loitia,LOC,23
Topero,LOC,23
Lisu,LOC,23
Peña,LOC,23
Arjel,LOC,23
Veremos,LOC,23
Vd.,LOC,23
China,LOC,23
Lágrimas,LOC,23
Alicia-,ORG,23
Alpujarras,LOC,23
Upala,LOC,23
Barinaga,LOC,23
Chamberí,LOC,23
Galia,LOC,23
Lerín,LOC,23
Mojanmet,LOC,23
Numancia,LOC,23
Oran,LOC,22
Arco,LOC,22
Messina,LOC,22
san,LOC,22
Zarini,LOC,22
Ronda,LOC,22
Flora-,LOC,22
Murcia,LOC,22
S.,LOC,22
Torres,LOC,22
Nertóbriga,LOC,22
Mediodía,LOC,22
Júpiter,LOC,22
Palencia,LOC,22
Salesas,LOC,22
Vienes,LOC,22
Tomás,LOC,22
Hermandad,LOC,22
verte,LOC,22
Suiza,LOC,22
Concepción,LOC,22
Beers,ORG,22
Vega,LOC,22
Goleta,LOC,22
Buena,LOC,22
Ea,LOC,22
Villa,LOC,22
Museo,LOC,22
Emilia,LOC,22
Ginés,LOC,22
Rhin,LOC,22
Berenice,LOC,22
Pacieco,LOC,22
Clunia,LOC,22
Carolina,LOC,21
Boshof,LOC,21
Marte,LOC,21
Colegiata,LOC,21
Mazacán,LOC,21
Alboraya,LOC,21
Marcelina,LOC,21
Sidora,LOC,21
Tenia,LOC,21
Hôtel,LOC,21
Charmey,LOC,21
Ernesta,LOC,21
Tened,LOC,21
Haro,LOC,21
Tolín,LOC,21
Pachuca,LOC,21
guapa,LOC,21
Tajo,LOC,21
Pasó,ORG,21
Chisquín,LOC,21
Ave,LOC,21
Hixen,LOC,21
Armas,LOC,21
Roncesvalles,LOC,20
Lorenzo,LOC,20
Madre,LOC,20
Padre,LOC,20
Calvario,LOC,20
Estaban,LOC,20
Barriluco,LOC,20
Sierra,LOC,20
Castilla,ORG,20
Corregidora,LOC,20
Duero,LOC,20
Requesens,LOC,20
Estais,LOC,20
Unya,LOC,20
Chato,LOC,20
Olimpo,LOC,20
Fernando,LOC,20
Vamos,LOC,20
Carrascosa,LOC,20
Zarzal,LOC,20
Alpes,LOC,20
Dios,ORG,20
Maldonado,LOC,20
Priora,LOC,20
Mons,LOC,20
Almudeles,LOC,20
señora,LOC,19
Corso,LOC,19
Tréveris,LOC,19
Castro,LOC,19
Bernardo,LOC,19
Baza,LOC,19
mira,LOC,19
Segre,LOC,19
Ciudad,LOC,19
Espera,LOC,19
Duque,LOC,19
Vieja,LOC,19
Chafarote,LOC,19
monte,LOC,19
Anda,LOC,19
Guardó,LOC,19
Justicia,LOC,19
Rodolfo,LOC,19
A,LOC,19
Noroeste,LOC,19
Brosseur,LOC,19
Caballero,LOC,19
Astorga,LOC,19
Versalles,LOC,19
Engracia,LOC,19
Universo,LOC,19
Pasaba,LOC,19
Ceniciento,LOC,19
Valverde,LOC,19
Lebrusco,LOC,19
Diré,LOC,19
Señana,LOC,19
Aquí,LOC,19
Cotorraso,LOC,19
Bernardote,LOC,19
"
					",LOC,18
ten,ORG,18
Galias,LOC,18
Imperial,LOC,18
Hormesinda,LOC,18
Vais,LOC,18
Miré,LOC,18
Fritigern,LOC,18
Atenas,LOC,18
Baja,LOC,18
Entró,LOC,18
Hortaleza,LOC,18
Explicaos,LOC,18
Habíale,LOC,18
Habíanse,LOC,18
Digo,ORG,18
Cierto,LOC,18
Cuatro,LOC,18
Fábrica,LOC,18
Coruña,LOC,18
Felipe,LOC,18
Barbacana,LOC,18
Piensas,LOC,18
Pirineos,LOC,18
Israel,LOC,18
señor,LOC,18
navarra,LOC,18
Calderón,LOC,18
Tranquilizaos,LOC,18
Guadarrama,LOC,18
azul,LOC,18
Malta,LOC,18
Santuario,LOC,18
Esplícate,LOC,18
Adelfi,LOC,18
Lelé,LOC,18
Logroño,LOC,18
Diego-,ORG,18
Teneis,LOC,18
Gante,LOC,18
Thessalónica,LOC,18
Conde,LOC,18
veras,LOC,18
Conservatorio,LOC,17
Pistañina,LOC,17
Fuensierra,LOC,17
Subió,LOC,17
suba,LOC,17
Explícate,LOC,17
Vitoria,LOC,17
Cizaña,LOC,17
Negro,LOC,17
zaguan,LOC,17
Ceuta,LOC,17
Juez,ORG,17
Sacramento,LOC,17
Corredera,LOC,17
Algeciras,LOC,17
Riosa,LOC,17
Déjate,LOC,17
lago,LOC,17
Centeno,LOC,17
Casímiro,LOC,17
Neirivue,LOC,17
Fuente,LOC,17
Antón,LOC,17
Azahrah,LOC,17
Medinat-Azahrah,LOC,17
Doña,LOC,17
Triana,LOC,17
isla,LOC,17
Prusia,ORG,17
Paredón,LOC,17
Neluco,LOC,17
santo,LOC,17
Instituto,ORG,17
Ebu-Ferik,LOC,17
Bara,LOC,17
Condado,LOC,17
Montera,LOC,17
Mallemba,LOC,17
Aquélla,LOC,17
Ucero,LOC,17
Nuevo,LOC,17
Iban,LOC,17
doña,LOC,17
Monteleón,LOC,17
